codice,comune,abitanti
28001,ABANO TERME,20350
28002,AGNA,3213
28003,ALBIGNASEGO,26476
28004,ANGUILLARA VENETA,4257
28005,ARQUA' PETRARCA,1811
28006,ARRE,2118
28007,ARZERGRANDE,4852
28008,BAGNOLI DI SOPRA,3499
28009,BAONE,3051
28010,BARBONA,625
28011,BATTAGLIA TERME,3899
28012,BOARA PISANI,2431
28013,BORGORICCO,8856
28014,BOVOLENTA,3508
28015,BRUGINE,7134
28016,CADONEGHE,16081
28017,CAMPODARSEGO,14860
28018,CAMPODORO,2662
28019,CAMPOSAMPIERO,12022
28020,CAMPO SAN MARTINO,5723
28021,CANDIANA,2278
28022,CARCERI,1513
28023,CARMIGNANO DI BRENTA,7609
28026,CARTURA,4659
28027,CASALE DI SCODOSIA,4831
28028,CASALSERUGO,5378
28029,CASTELBALDO,1479
28030,CERVARESE SANTA CROCE,5710
28031,CINTO EUGANEO,1966
28032,CITTADELLA,20151
28033,CODEVIGO,6411
28034,CONSELVE,10269
28035,CORREZZOLA,5149
28036,CURTAROLO,7219
28037,ESTE,16216
28038,FONTANIVA,8034
28039,GALLIERA VENETA,7159
28040,GALZIGNANO TERME,4340
28041,GAZZO,4294
28042,GRANTORTO,4575
28043,GRANZE,1989
28044,LEGNARO,9105
28045,LIMENA,7949
28046,LOREGGIA,7700
28047,LOZZO ATESTINO,3020
28048,MASERA' DI PADOVA,9149
28049,MASI,1747
28050,MASSANZAGO,6101
28052,MEGLIADINO SAN VITALE,1833
28053,MERLARA,2581
28054,MESTRINO,11597
28055,MONSELICE,17421
28056,MONTAGNANA,8923
28057,MONTEGROTTO TERME,11584
28058,NOVENTA PADOVANA,11514
28059,OSPEDALETTO EUGANEO,5610
28060,PADOVA,212730
28061,PERNUMIA,3841
28062,PIACENZA D'ADIGE,1271
28063,PIAZZOLA SUL BRENTA,11066
28064,PIOMBINO DESE,9573
28065,PIOVE DI SACCO,20227
28066,POLVERARA,3352
28067,PONSO,2396
28068,PONTELONGO,3676
28069,PONTE SAN NICOLÒ,13459
28070,POZZONOVO,3529
28071,ROVOLON,4918
28072,RUBANO,16639
28073,SACCOLONGO,4898
28075,SAN GIORGIO DELLE PERTICHE,10196
28076,SAN GIORGIO IN BOSCO,6399
28077,SAN MARTINO DI LUPARI,13123
28078,SAN PIETRO IN GU,4421
28079,SAN PIETRO VIMINARIO,3017
28080,SANTA GIUSTINA IN COLLE,7325
28082,SANT'ANGELO DI PIOVE DI SACCO,7236
28083,SANT'ELENA,2546
28084,SANT'URBANO,1924
28085,SAONARA,10489
28086,SELVAZZANO DENTRO,23070
28087,SOLESINO,6970
28088,STANGHELLA,4137
28089,TEOLO,9037
28090,TERRASSA PADOVANA,2637
28091,TOMBOLO,8398
28092,TORREGLIA,6123
28093,TREBASELEGHE,12947
28094,TRIBANO,4323
28095,URBANA,2060
28096,VEGGIANO,4759
28097,VESCOVANA,1780
28098,VIGHIZZOLO D'ESTE,909
28099,VIGODARZERE,13044
28100,VIGONZA,23116
28101,VILLA DEL CONTE,5618
28102,VILLA ESTENSE,2177
28103,VILLAFRANCA PADOVANA,10479
28104,VILLANOVA DI CAMPOSAMPIERO,6111
28105,VO',3285
28106,DUE CARRARE,9063
28107,BORGO VENETO,6995
26001,ALTIVOLE,7008
26002,ARCADE,4556
26003,ASOLO,9110
26004,BORSO DEL GRAPPA,5938
26005,BREDA DI PIAVE,7738
26006,CAERANO DI SAN MARCO,7958
26007,CAPPELLA MAGGIORE,4729
26008,CARBONERA,11294
26009,CASALE SUL SILE,13163
26010,CASIER,11311
26011,CASTELCUCCO,2296
26012,CASTELFRANCO VENETO,33372
26013,CASTELLO DI GODEGO,7203
26014,CAVASO DEL TOMBA,2910
26015,CESSALTO,3889
26016,CHIARANO,3696
26017,CIMADOLMO,3435
26018,CISON DI VALMARINO,2660
26019,CODOGNE',5285
26020,COLLE UMBERTO,5145
26021,CONEGLIANO,35294
26022,CORDIGNANO,6963
26023,CORNUDA,6309
26025,CROCETTA DEL MONTELLO,6063
26026,FARRA DI SOLIGO,8651
26027,FOLLINA,3776
26028,FONTANELLE,5694
26029,FONTE,5913
26030,FREGONA,2886
26031,GAIARINE,6002
26032,GIAVERA DEL MONTELLO,5267
26033,GODEGA DI SANT'URBANO,6047
26034,GORGO AL MONTICANO,4081
26035,ISTRANA,9198
26036,LORIA,9392
26037,MANSUE',5081
26038,MARENO DI PIAVE,9622
26039,MASER,5133
26040,MASERADA SUL PIAVE,9321
26041,MEDUNA DI LIVENZA,2969
26042,MIANE,3221
26043,MOGLIANO VENETO,27775
26044,MONASTIER DI TREVISO,4418
26045,MONFUMO,1312
26046,MONTEBELLUNA,31474
26047,MORGANO,4448
26048,MORIAGO DELLA BATTAGLIA,2809
26049,MOTTA DI LIVENZA,10778
26050,NERVESA DELLA BATTAGLIA,6605
26051,ODERZO,20827
26052,ORMELLE,4555
26053,ORSAGO,3851
26055,PAESE,22128
26056,PEDEROBBA,7375
26057,PIEVE DI SOLIGO,12020
26058,PONTE DI PIAVE,8337
26059,PONZANO VENETO,12948
26060,PORTOBUFFOLE',747
26061,POSSAGNO,2215
26062,POVEGLIANO,5234
26063,PREGANZIOL,17050
26064,QUINTO DI TREVISO,9923
26065,REFRONTOLO,1695
26066,RESANA,9533
26067,REVINE LAGO,2125
26068,RIESE PIO X,10996
26069,RONCADE,14548
26070,SALGAREDA,6687
26071,SAN BIAGIO DI CALLALTA,13069
26072,SAN FIOR,6937
26073,SAN PIETRO DI FELETTO,5193
